PrintedDate,ItemCode,Description,Price,Cost,Quantity
2019-02-12 17:22:45,00201,Classic Long Dress KK18 L,90000.0,59000.0,0.0
2019-02-12 17:22:45,00202,Classic Long Dress Karina1,90000.0,59000.0,0.0
2019-02-12 17:22:45,00203,Classic Long Dress Karina2,90000.0,59000.0,0.0
2019-02-12 17:22:45,00204,Classic Long Dress Karina3,90000.0,59000.0,0.0
2019-02-12 17:22:45,00205,Classic Long Dress Karina4,90000.0,59000.0,0.0
2019-02-12 17:22:45,00206,Classic Long Dress Karina5,90000.0,59000.0,0.0
2019-02-12 17:22:45,00207,Classic Long Dress Karina6,90000.0,59000.0,0.0
2019-02-12 17:22:45,00208,Classic Long Dress Karina7,90000.0,59000.0,0.0
2019-02-12 17:22:45,00209,Classic Long Dress Karina8,90000.0,59000.0,0.0
2019-02-12 17:22:45,00210,Classic Long Dress Karina9,90000.0,59000.0,0.0
2019-02-12 17:22:45,00211,Manset Basic Polos hitam,15000.0,5700.0,0.0
2019-02-12 17:22:45,00212,Syakira M ungmud,87000.0,58000.0,4.0
2019-02-12 17:22:45,00213,Mukena Rayon Premium MP153,145000.0,101500.0,0.0
2019-02-12 17:22:45,00214,Mukena Rayon Premium MP177,145000.0,101600.0,0.0
2019-02-12 17:22:45,00215,Mukena Rayon Premium MP180,145000.0,101600.0,0.0
2019-02-12 17:22:45,00216,Aryani 130 kunyit tua,69000.0,46200.0,0.0
2019-02-12 17:22:45,00217,Azima abu,105000.0,69600.0,0.0
2019-02-12 17:22:45,00218,Azima ungu tua,105000.0,69600.0,0.0
2019-02-12 17:22:45,00219,Syakira M fanta,85000.0,56600.0,0.0
2019-02-12 17:22:45,00220,Syakira M turqis,85000.0,56600.0,0.0
2019-02-12 17:22:45,00221,Classic Long Dress KK03 XL,90000.0,59000.0,0.0
2019-02-12 17:22:45,00222,Classic Long Dress KK08 XL,90000.0,59000.0,0.0
2019-02-12 17:22:45,00223,Classic Long Dress Karina10,90000.0,59000.0,0.0
2019-02-12 17:22:45,00224,Pastan Wanoja Pet Antem XL hitam,130000.0,104000.0,0.0
2019-02-12 17:22:45,00225,Syahida M coksu,91000.0,60150.0,1.0
2019-02-12 17:22:45,00226,Syahida L dusty pink muda,93000.0,61800.0,0.0
2019-02-12 17:22:45,00227,Mukena Rayon Premium MP160,145000.0,101500.0,0.0
2019-02-12 17:22:45,00228,Mukena Rayon Premium MP168,145000.0,101500.0,0.0
2019-02-12 17:22:45,00229,Mukena Rayon Premium MP170,145000.0,101500.0,0.0
2019-02-12 17:22:45,00230,Mukena Rayon Premium MP174,145000.0,101500.0,0.0
2019-02-12 17:22:45,00231,Mukena Rayon Premium MP175,145000.0,101500.0,0.0
2019-02-12 17:22:45,00232,Mukena Rayon Premium MP162,145000.0,101500.0,0.0
2019-02-12 17:22:45,00233,Ibis Wanoja black L,350000.0,250000.0,0.0
2019-02-12 17:22:45,00234,Pastan Wanoja Pet Antem XL navy,130000.0,104000.0,0.0
2019-02-12 17:22:45,00235,Ciput Bandana,20000.0,8000.0,-3.0
2019-02-12 17:22:45,00236,JP Nida coksu,12000.0,6000.0,24.0
2019-02-12 17:22:45,00237,JP Nida abu,12000.0,6000.0,24.0
2019-02-12 17:22:45,00238,Pastan Wanoja Pet Antem XL Slate Grey,130000.0,104000.0,0.0
2019-02-12 17:22:45,00239,Aryani 130 Abu,69000.0,46350.0,0.0
2019-02-12 17:22:45,00240,Aryani 130 Dusty Pink,69000.0,46350.0,0.0
2019-02-12 17:22:45,00241,Aryani 130 Abu Tua,69000.0,46350.0,0.0
2019-02-12 17:22:45,00242,Aryani 130 Dongker,69000.0,46350.0,0.0
2019-02-12 17:22:45,00243,Aryani 130 Hijau Pastel,69000.0,46350.0,0.0
2019-02-12 17:22:45,00244,Aryani 130 Merah,69000.0,46350.0,0.0
2019-02-12 17:22:45,00245,Aryani 130 Ungu Redup,69000.0,46350.0,0.0
2019-02-12 17:22:45,00246,Aryani 130 Krem,69000.0,46350.0,-1.0
2019-02-12 17:22:45,00247,Aryani 150 maroon,77000.0,52050.0,0.0
2019-02-12 17:22:45,00248,Aryani 150 Hitam,77000.0,52050.0,0.0
2019-02-12 17:22:45,00249,Aryani 150 Putih,77000.0,52050.0,0.0
2019-02-12 17:22:45,00250,Aryani 150 Dusty Pink,77000.0,52050.0,0.0
2019-02-12 17:22:45,00251,Aryani 150 Abu,77000.0,52050.0,0.0
2019-02-12 17:22:45,00252,Aryani 150 Dongker,77000.0,52050.0,0.0
